2012-05-10 17:53:53 [INFO] [Multiverse-Portals]  0 - Portals(s) loaded
2012-05-19 04:24:30 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2012-05-20 17:19:05 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2012-05-23 14:30:43 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2012-05-23 20:33:12 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2012-06-08 21:20:54 [INFO] [Multiverse-Portals]  4 - Portals(s) loaded
2012-06-09 02:52:30 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2012-06-17 17:37:46 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2012-06-22 21:07:58 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2012-06-22 21:11:14 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2012-06-22 21:27:32 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2012-06-27 16:38:57 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
2012-06-27 16:40:15 [INFO] [Multiverse-Portals]  6 - Portals(s) loaded
